cert_name,completed_date,course_length,study_time,platform_id,showcase,cert_code,cloud_path,exam_score,hands_on,repo,posted_linkedin,note
Pythonic Programming,2021-05-21,06:42,,3,yes,Certifcate: 21285787,C:\Users\farho\OneDrive\Self Study\Certification\Cloud Academy,,,,,
Introduction to Career Skills in Software Development,2024-10-05,01:57,,1,,e2c20858f487f64f5fe4e6a0b57f875c3cc70923b7cac7d15959a6b6e64c785a,C:\Users\farho\OneDrive\Self Study\Certification\LinkedIn Learn\Software Development,,,,,
Programming Foundations: Fundamentals,2024-10-07,02:12,,1,,3285664bf5eeb5c7baaeb11e5ab956037c3789a479c32cdd1551a52f776c6b8e,C:\Users\farho\OneDrive\Self Study\Certification\LinkedIn Learn\Software Development,,,,,
"AWS Certified Advanced Networking– Specialty (ANS-C01) Cert Prep: 3
 Network Management and Operation",2024-10-08,00:16,,1,yes,e683508f6cd7180078708ad2ecaa35f725ad29fea9c0b8c65bd0aff82ee3ccd4,C:\Users\farho\OneDrive\Self Study\Certification\LinkedIn Learn,,,,,
"Machine Learning with Python:
 Foundations
 Machine Learning with Python:
 Foundation",2024-10-08,01:54,,1,yes,96023543004becc69be36e7353f1fad195e1147474b0625a11b51cfe8bf1bc87,C:\Users\farho\OneDrive\Self Study\Certification\LinkedIn Learn\Data Scientist,,,,,
Programming Foundations: Beyond the Fundamentals,2024-10-08,02:06,,1,,585d0fc3371bfe3d3b3c072d09ed29850e6485c77b9308087d2efc744d3a4297,C:\Users\farho\OneDrive\Self Study\Certification\LinkedIn Learn\Software Development,,,,,
Career Essentials in Software Development by Microsoft and LinkedIn,2024-10-08,06:16,,1,yes,378f8062b3f3ab96b438ddeff1aaf7f2b5f20f617620c2d7e4717d5b5ae9d465,C:\Users\farho\OneDrive\Self Study\Certification\LinkedIn Learn\Software Development,,,,,
Introduction to Career Skills in Data Analytics,2024-10-09,02:21,,1,,aa2f76194f00f4e4444fa1fd0695a99dd8808f3ad7a4a444fd6574911add578f,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics',,,,,
Learning Data Analytics: 1 Foundations,2024-10-10,03:29,,1,,c44dd0f949d33cfee19648a50b6bf44cfe4d519674f2fc5ada61b8fa92d026d1,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics',,,,,
Learning Data Analytics Part 2: Extending and Applying Core Knowledge,2024-10-11,03:22,,1,,c7d081fee9862b5c2945f47586b75ade8749e7d755109668dcb02da69cfcd8d1,/Users/farhoudkhoshnoud/Library/CloudStorage/OneDrive-Personal/Self Study/Certification/LinkedIn Learn/Data Analytics',,,,,
